Zip Code,Less than $100,$100-$200,$200-$300,$300-$400,$400-$500,$500-$600,$600-$700,$700-$800,$800-$900,$900-$1000,More than $1000,Total number of delinquent residential accounts,PWSID,Size,row sum
92282,55.0,27.0,12.0,6.0,4.0,5.0,4.0,1.0,0.0,1.0,3.0,118.0,CA3310008,Large,118.0
92201,0.0,37.0,68.0,85.0,41.0,35.0,19.0,6.0,9.0,4.0,9.0,313.0,CA3310020,Large,313.0
92203,0.0,5.0,17.0,19.0,7.0,11.0,3.0,1.0,3.0,3.0,4.0,73.0,CA3310020,Large,73.0
92501,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,CA3310031,Large,5.0
92503,4636.0,1570.0,840.0,437.0,227.0,108.0,83.0,33.0,22.0,22.0,83.0,8061.0,CA3310031,Large,8061.0
92504,1112.0,308.0,133.0,58.0,28.0,19.0,12.0,5.0,1.0,0.0,8.0,1684.0,CA3310031,Large,1684.0
92505,10.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,CA3310031,Large,17.0
92506,532.0,178.0,75.0,47.0,23.0,12.0,10.0,7.0,2.0,6.0,8.0,900.0,CA3310031,Large,900.0
92507,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,CA3310031,Large,2.0
92508,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,CA3310031,Large,1.0
92562,50.0,90.0,35.0,17.0,14.0,6.0,4.0,6.0,4.0,1.0,16.0,243.0,CA3310038,Large,243.0
92563,91.0,75.0,16.0,7.0,8.0,3.0,1.0,0.0,0.0,0.0,4.0,205.0,CA3310038,Large,205.0
92590,9.0,5.0,3.0,4.0,2.0,2.0,3.0,0.0,3.0,1.0,9.0,41.0,CA3310038,Large,41.0
92591,564.0,295.0,77.0,57.0,28.0,10.0,7.0,5.0,3.0,4.0,9.0,1059.0,CA3310038,Large,1059.0
92592,1017.0,661.0,225.0,110.0,65.0,51.0,22.0,23.0,7.0,7.0,40.0,2228.0,CA3310038,Large,2228.0
95991,0.0,0.0,0.0,792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792.0,CA5110002,Large,792.0
