"","PWSID","final.weight","base.weight","fpc","voluntary"
"101","CA5610019",2.1389843032368,1.7421875,0.573991031390135,"n"
"102","CA1910092",1.88746436552071,1.7421875,0.573991031390135,"n"
"103","CA1910059",2.21196887025328,1.7421875,0.573991031390135,"n"
"104","CA1910003",1.98578162894961,1.7421875,0.573991031390135,"n"
"105","CA1910083",1.91108551940012,1.7421875,0.573991031390135,"n"
"106","CA1910194",2.04065250224866,1.7421875,0.573991031390135,"n"
"107","CA2910003",1.84524055772627,1.7421875,0.573991031390135,"n"
"108","CA3310008",1.65015966389315,1.7421875,0.573991031390135,"n"
"109","CA3010002",1.842001161643,1.7421875,0.573991031390135,"n"
"110","CA1510017",1.86457474985121,1.7421875,0.573991031390135,"y"
"111","CA3410008",1.76828193686434,1.7421875,0.573991031390135,"y"
"112","CA3010042",1.98779972511619,1.7421875,0.573991031390135,"n"
"113","CA4110025",1.86269005042899,1.7421875,0.573991031390135,"n"
"114","CA3610029",1.84119172994607,1.7421875,0.573991031390135,"n"
"115","CA5010028",1.64886578797735,1.7421875,0.573991031390135,"n"
"116","CA3410004",1.84200810259676,1.7421875,0.573991031390135,"n"
"117","CA3710021",1.83242275648241,1.7421875,0.573991031390135,"n"
"118","CA3610038",1.78056379325073,1.7421875,0.573991031390135,"n"
"119","CA4110023",1.91288794728971,1.7421875,0.573991031390135,"n"
"120","CA3010030",1.92943865760999,1.7421875,0.573991031390135,"n"
"121","CA1510029",1.838667332748,1.7421875,0.573991031390135,"n"
"122","CA5610018",1.83907070509145,1.7421875,0.573991031390135,"n"
"123","CA4010007",1.95438280133589,1.7421875,0.573991031390135,"n"
"124","CA3610073",1.75159271041917,1.7421875,0.573991031390135,"n"
"125","CA3410021",2.09197655565886,1.7421875,0.573991031390135,"n"
"126","CA3310006",1.65019326821909,1.7421875,0.573991031390135,"n"
"127","CA3610014",1.79484981172956,1.7421875,0.573991031390135,"n"
"128","CA1910090",1.98292334598157,1.7421875,0.573991031390135,"n"
