"","PWSID","final.weight","base.weight","fpc","voluntary"
"1","CA1910067",1,1.7421875,0.573991031390135,"n"
"2","CA0110005",1,1.7421875,0.573991031390135,"n"
"3","CA3710020",1,1.7421875,0.573991031390135,"n"
"4","CA4310011",0.991686278227097,1.7421875,0.573991031390135,"n"
"5","CA3810011",0.989873670308972,1.7421875,0.573991031390135,"n"
"6","CA3310009",1.05696793508707,1.7421875,0.573991031390135,"n"
"7","CA3410020",0.98991591386163,1.7421875,0.573991031390135,"n"
"8","CA1010007",0.97463889978619,1.7421875,0.573991031390135,"n"
"9","CA3010092",1.01844005146393,1.7421875,0.573991031390135,"n"
"10","CA3310001",0.978477251265115,1.7421875,0.573991031390135,"n"
"11","CA1910065",1.65150847075358,1.7421875,0.573991031390135,"n"
"12","CA0110001",1.62544003230115,1.7421875,0.573991031390135,"n"
"13","CA5010010",1.63302502778467,1.7421875,0.573991031390135,"n"
"14","CA3310031",1.65973350342443,1.7421875,0.573991031390135,"n"
"15","CA1510003",1.6589416150677,1.7421875,0.573991031390135,"n"
"16","CA0710003",1.57634589543533,1.7421875,0.573991031390135,"n"
"17","CA2110002",1.63815958261047,1.7421875,0.573991031390135,"n"
"18","CA3710010",1.68673609419452,1.7421875,0.573991031390135,"n"
"19","CA3010101",1.67026929717594,1.7421875,0.573991031390135,"n"
"20","CA3010073",1.55278703532329,1.7421875,0.573991031390135,"n"
"21","CA3710034",1.65169965265222,1.7421875,0.573991031390135,"n"
"22","CA3410029",1.54952790407209,1.7421875,0.573991031390135,"n"
"23","CA3410001",1.65399141515776,1.7421875,0.573991031390135,"n"
"24","CA1510031",1.55627448378475,1.7421875,0.573991031390135,"n"
"25","CA1910039",1.68886284224286,1.7421875,0.573991031390135,"n"
"26","CA3010038",1.8128989491109,1.7421875,0.573991031390135,"n"
"27","CA5410016",1.71128168980072,1.7421875,0.573991031390135,"n"
"28","CA3310012",1.72856891063488,1.7421875,0.573991031390135,"n"
"29","CA3110008",1.59166764309064,1.7421875,0.573991031390135,"n"
"30","CA3310038",1.59860962804916,1.7421875,0.573991031390135,"n"
"31","CA3910001",1.71763225369051,1.7421875,0.573991031390135,"n"
"32","CA3310037",1.75464948634841,1.7421875,0.573991031390135,"n"
"33","CA3610039",1.64581402976514,1.7421875,0.573991031390135,"n"
"34","CA5610007",1.8750293744794,1.7421875,0.573991031390135,"n"
"35","CA1910124",1.64913788310124,1.7421875,0.573991031390135,"n"
"36","CA3610052",1.70960098973389,1.7421875,0.573991031390135,"n"
"37","CA1910043",1.86537088034259,1.7421875,0.573991031390135,"n"
"38","CA0110006",1.66276474130855,1.7421875,0.573991031390135,"n"
"39","CA3710025",1.73108677825608,1.7421875,0.573991031390135,"n"
"40","CA1010003",1.63291346964105,1.7421875,0.573991031390135,"n"
"41","CA0710001",1.69504418834059,1.7421875,0.573991031390135,"n"
"42","CA1910017",1.62071381915815,1.7421875,0.573991031390135,"n"
"43","CA4810003",1.73808805133527,1.7421875,0.573991031390135,"n"
"44","CA3010010",1.68154314756659,1.7421875,0.573991031390135,"n"
"45","CA1910240",1.55743761281363,1.7421875,0.573991031390135,"n"
"46","CA0410002",1.77734438457374,1.7421875,0.573991031390135,"n"
"47","CA5610017",1.87011754835562,1.7421875,0.573991031390135,"n"
"48","CA3710005",1.60005434276748,1.7421875,0.573991031390135,"n"
"49","CA3610024",1.77001370407328,1.7421875,0.573991031390135,"n"
"50","CA3910004",1.75721598968767,1.7421875,0.573991031390135,"n"
"51","CA1910102",1.97381548561009,1.7421875,0.573991031390135,"n"
"52","CA1910213",2.00571323542805,1.7421875,0.573991031390135,"n"
"53","CA2810003",1.94840561329947,1.7421875,0.573991031390135,"n"
"54","CA3910011",1.85301042110429,1.7421875,0.573991031390135,"n"
"55","CA4410010",1.93463007841862,1.7421875,0.573991031390135,"n"
"56","CA3010004",2.09817021468196,1.7421875,0.573991031390135,"n"
"57","CA3310020",1.75928093089845,1.7421875,0.573991031390135,"n"
"58","CA4210011",1.71638666327689,1.7421875,0.573991031390135,"n"
"59","CA3710029",1.92225988762212,1.7421875,0.573991031390135,"n"
"60","CA4110013",1.81693589043912,1.7421875,0.573991031390135,"n"
"61","CA0110008",1.79951547854788,1.7421875,0.573991031390135,"n"
