"","variable","srv.total","srv.SE","post.strat.total","post.strate.SE","srv.total.unadjusted","srv.SE.unadjusted","srv.total.unweighted","srv.SE.unweighted","srv.total.imputed.volunteers","srv.SE.imputed.volunteers"
"1","cash_reserve_total",1696718846.20335,179287285.992288,1810899162.08969,185849053.841323,1359976481.12763,141397861.708344,907435520.74,76131986.1024594,1422952931.14152,145624471.762974
"2","cash_reserve_restricted",793446408.793444,97412620.3415788,840982565.181269,100392911.38202,631638687.734998,76392643.0986435,414349770.45,41700676.7254563,642055932.601321,76525148.5961462
"3","cash_reserve_unrestricted",902842637.811225,90866508.2689959,969467325.57844,95224520.1847816,728010781.860397,72194334.9260429,492915648.29,39391577.313365,746486978.234157,72378104.2543324
"4","months_before_assist_num",3638.90856278808,370.148040217411,3691.71953797201,366.440009302556,2649.7617939777,247.340392894355,772,36.6244973140771,2909.14653299916,265.118550727847
"5","delinquent_num_acc",85506.5830790039,5835.25087912652,92030.3114492719,6252.17647204834,69656.1056990302,4748.62738433393,49946,3127.44546454548,70856.213768116,4768.09972329816
"6","`Total number of delinquent residential accounts`",77066.1669995364,5804.32650497757,82963.1234143144,6239.52628822791,62880.6921536934,4727.12334463414,44604,3125.95287931686,63686.0950358989,4744.05050562304
"7","delinquent_amount_dollars",28625705.5746833,1724883.06584727,30833307.1421702,1863912.6404934,23366632.0848889,1410070.560229,16993366.42,1010429.47717957,25851313.7869163,2188350.13236994
