"","variable","total.unweighted","total.SE.unweighted","total.unadjusted","SE.unadjusted","post.strat.total","post.strate.SE"
"1","dollars_del_acc_TotR",25664455.95,4730267.41269027,44712294.3503906,8241012.75804635,41140416.1769445,6797875.82503805
"2","dollars_del_dw_TotR",15273472.4395,2751818.70081134,26609252.7656914,4794184.14281973,24951084.5535509,4239351.5468227
"3","`Total number of delinquent residential accounts`",17856,4064.11470583934,31108.5,7080.44983907946,32280.3796296296,7305.4160498551
"4","num_del_acc_plan",23261,14849.9725077518,40525.0234375,25871.436478349,23594.4814814815,13796.2849472063
"5","late_fees_YNN",5,1.43629969591886,8.7109375,2.50230337648364,8.93518518518519,2.55704155425229
"6","late_fees_YNY",14,2.31379007667252,24.390625,4.03105614920291,23.8703703703704,3.97535190169972
"7","late_fees_dollars",2528992.97,952205.036902419,4405979.93992188,1658919.71272843,3489896.88157407,1051804.69014368
