GEO_ID,NAME,Median_12month_HH_Income,B19013_001MarginOfError
1400000US06073011602,"Census Tract 116.02, San Diego County, California",42026,2971
1400000US06053010604,"Census Tract 106.04, Monterey County, California",77857,5153
1400000US06071002301,"Census Tract 23.01, San Bernardino County, California",72471,14127
1400000US06059099223,"Census Tract 992.23, Orange County, California",44842,15528
1400000US06033000701,"Census Tract 7.01, Lake County, California",28077,5107
1400000US06065042206,"Census Tract 422.06, Riverside County, California",63487,14554
1400000US06037535606,"Census Tract 5356.06, Los Angeles County, California",43750,8939
1400000US06073009802,"Census Tract 98.02, San Diego County, California",75046,4561
1400000US06037542800,"Census Tract 5428, Los Angeles County, California",54967,5701
1400000US06111004505,"Census Tract 45.05, Ventura County, California",59784,4386
1400000US06071004404,"Census Tract 44.04, San Bernardino County, California",43839,11734
1400000US06075025600,"Census Tract 256, San Francisco County, California",85288,10048
1400000US06065042745,"Census Tract 427.45, Riverside County, California",52324,5290
1400000US06059110604,"Census Tract 1106.04, Orange County, California",96322,11659
1400000US06037143902,"Census Tract 1439.02, Los Angeles County, California",120781,16765
1400000US06037534404,"Census Tract 5344.04, Los Angeles County, California",39583,4018
1400000US06061021309,"Census Tract 213.09, Placer County, California",129128,6590
1400000US06083002005,"Census Tract 20.05, Santa Barbara County, California",79522,15173
1400000US06073019905,"Census Tract 199.05, San Diego County, California",75543,5345
1400000US06085503329,"Census Tract 5033.29, Santa Clara County, California",187336,11853
1400000US06071001808,"Census Tract 18.08, San Bernardino County, California",78958,13267
1400000US06075021800,"Census Tract 218, San Francisco County, California",173372,27873
1400000US06065042214,"Census Tract 422.14, Riverside County, California",92946,9644
1400000US06037119001,"Census Tract 1190.01, Los Angeles County, California",76932,13829
1400000US06037121600,"Census Tract 1216, Los Angeles County, California",78750,10510
1400000US06065041904,"Census Tract 419.04, Riverside County, California",105762,12996
1400000US06059062644,"Census Tract 626.44, Orange County, California",146953,23387
1400000US06073013503,"Census Tract 135.03, San Diego County, California",63095,5898
1400000US06071007800,"Census Tract 78, San Bernardino County, California",57237,10457
1400000US06073003403,"Census Tract 34.03, San Diego County, California",42652,8212
1400000US06001437000,"Census Tract 4370, Alameda County, California",82396,14307
1400000US06067005506,"Census Tract 55.06, Sacramento County, California",29250,8998
1400000US06029004401,"Census Tract 44.01, Kern County, California",43134,11096
1400000US06029003813,"Census Tract 38.13, Kern County, California",110000,23517
1400000US06059042335,"Census Tract 423.35, Orange County, California",89348,38213
1400000US06013355108,"Census Tract 3551.08, Contra Costa County, California",106016,4754
1400000US06029002821,"Census Tract 28.21, Kern County, California",79519,9238
1400000US06037311400,"Census Tract 3114, Los Angeles County, California",86726,15731
1400000US06087110700,"Census Tract 1107, Santa Cruz County, California",66563,14318
1400000US06059011707,"Census Tract 117.07, Orange County, California",81495,14208
1400000US06037119900,"Census Tract 1199, Los Angeles County, California",74183,18047
1400000US06037577602,"Census Tract 5776.02, Los Angeles County, California",89149,11721
1400000US06037271701,"Census Tract 2717.01, Los Angeles County, California",91567,8070
1400000US06071000904,"Census Tract 9.04, San Bernardino County, California",51146,10735
1400000US06037620521,"Census Tract 6205.21, Los Angeles County, California",125391,19433
1400000US06097153902,"Census Tract 1539.02, Sonoma County, California",73684,9889
1400000US06025012200,"Census Tract 122, Imperial County, California",34902,5618
1400000US06077005113,"Census Tract 51.13, San Joaquin County, California",61316,28466
1400000US06107000402,"Census Tract 4.02, Tulare County, California",55521,8041
1400000US06073009604,"Census Tract 96.04, San Diego County, California",82270,13750
1400000US06037542200,"Census Tract 5422, Los Angeles County, California",45985,4687
1400000US06073008510,"Census Tract 85.10, San Diego County, California",62537,10630
1400000US06097153801,"Census Tract 1538.01, Sonoma County, California",98986,13233
1400000US06037800203,"Census Tract 8002.03, Los Angeles County, California",133971,26986
1400000US06081603100,"Census Tract 6031, San Mateo County, California",131845,17753
1400000US06073019503,"Census Tract 195.03, San Diego County, California",63733,11519
1400000US06037218500,"Census Tract 2185, Los Angeles County, California",42844,8141
1400000US06075020700,"Census Tract 207, San Francisco County, California",167422,23274
1400000US06001451403,"Census Tract 4514.03, Alameda County, California",100066,13949
1400000US06099000803,"Census Tract 8.03, Stanislaus County, California",40807,5358
1400000US06023010300,"Census Tract 103, Humboldt County, California",51089,3887
1400000US06067004009,"Census Tract 40.09, Sacramento County, California",69868,15851
1400000US06077001700,"Census Tract 17, San Joaquin County, California",31921,4728
1400000US06085507002,"Census Tract 5070.02, Santa Clara County, California",225417,60923
1400000US06013307101,"Census Tract 3071.01, Contra Costa County, California",61972,5942
1400000US06037534203,"Census Tract 5342.03, Los Angeles County, California",35330,3400
1400000US06037533107,"Census Tract 5331.07, Los Angeles County, California",38462,5079
1400000US06095253107,"Census Tract 2531.07, Solano County, California",52240,3169
1400000US06085509105,"Census Tract 5091.05, Santa Clara County, California",129554,16637
1400000US06085502102,"Census Tract 5021.02, Santa Clara County, California",70868,12111
1400000US06065041600,"Census Tract 416, Riverside County, California",35417,5711
1400000US06081606600,"Census Tract 6066, San Mateo County, California",137237,16881
1400000US06067007018,"Census Tract 70.18, Sacramento County, California",68017,11028
1400000US06059063007,"Census Tract 630.07, Orange County, California",118325,17788
1400000US06107001800,"Census Tract 18, Tulare County, California",48455,3198
1400000US06037134423,"Census Tract 1344.23, Los Angeles County, California",100427,15880
1400000US06037119700,"Census Tract 1197, Los Angeles County, California",79986,15912
1400000US06037104103,"Census Tract 1041.03, Los Angeles County, California",86989,15789
1400000US06027000400,"Census Tract 4, Inyo County, California",42339,5374
1400000US06017030505,"Census Tract 305.05, El Dorado County, California",68302,10787
1400000US06081613502,"Census Tract 6135.02, San Mateo County, California",132564,25858
1400000US06071003606,"Census Tract 36.06, San Bernardino County, California",48929,4731
1400000US06037910715,"Census Tract 9107.15, Los Angeles County, California",53521,4062
1400000US06017031000,"Census Tract 310, El Dorado County, California",63750,15415
1400000US06059062626,"Census Tract 626.26, Orange County, California",25417,5521
1400000US06097153806,"Census Tract 1538.06, Sonoma County, California",99479,19110
1400000US06085505700,"Census Tract 5057, Santa Clara County, California",85236,20138
1400000US06111008001,"Census Tract 80.01, Ventura County, California",91367,8028
1400000US06037574800,"Census Tract 5748, Los Angeles County, California",74073,7328
1400000US06061022900,"Census Tract 229, Placer County, California",89088,22068
1400000US06013338302,"Census Tract 3383.02, Contra Costa County, California",174634,22537
1400000US06037121210,"Census Tract 1212.10, Los Angeles County, California",62109,19369
1400000US06017031900,"Census Tract 319, El Dorado County, California",70000,37930
1400000US06059088905,"Census Tract 889.05, Orange County, California",51706,4446
1400000US06055201005,"Census Tract 2010.05, Napa County, California",113636,22176
1400000US06037123204,"Census Tract 1232.04, Los Angeles County, California",39970,5658
1400000US06097153903,"Census Tract 1539.03, Sonoma County, California",97170,6042
1400000US06085504418,"Census Tract 5044.18, Santa Clara County, California",105670,19645
1400000US06059063908,"Census Tract 639.08, Orange County, California",79423,15211
1400000US06099000910,"Census Tract 9.10, Stanislaus County, California",47002,5253
1400000US06075010700,"Census Tract 107, San Francisco County, California",25502,5832
1400000US06013355302,"Census Tract 3553.02, Contra Costa County, California",220824,22211
1400000US06111002600,"Census Tract 26, Ventura County, California",81707,12746
1400000US06059099513,"Census Tract 995.13, Orange County, California",88919,11203
1400000US06037231600,"Census Tract 2316, Los Angeles County, California",41416,3381
1400000US06069000701,"Census Tract 7.01, San Benito County, California",63578,12408
1400000US06059099226,"Census Tract 992.26, Orange County, California",101875,18547
1400000US06037532304,"Census Tract 5323.04, Los Angeles County, California",42724,4291
1400000US06037267600,"Census Tract 2676, Los Angeles County, California",76250,28644
1400000US06037400304,"Census Tract 4003.04, Los Angeles County, California",71964,7695
1400000US06077005135,"Census Tract 51.35, San Joaquin County, California",84010,5619
1400000US06085512001,"Census Tract 5120.01, Santa Clara County, California",197324,21207
1400000US06059063605,"Census Tract 636.05, Orange County, California",49551,9846
1400000US06067004501,"Census Tract 45.01, Sacramento County, California",28775,4184
1400000US06093000702,"Census Tract 7.02, Siskiyou County, California",33750,7674
1400000US06037275311,"Census Tract 2753.11, Los Angeles County, California",87284,9149
1400000US06037291210,"Census Tract 2912.10, Los Angeles County, California",54297,16022
1400000US06019004703,"Census Tract 47.03, Fresno County, California",40461,6265
1400000US06065040605,"Census Tract 406.05, Riverside County, California",58977,11936
1400000US06071001309,"Census Tract 13.09, San Bernardino County, California",64167,11944
1400000US06087122003,"Census Tract 1220.03, Santa Cruz County, California",85329,12655
1400000US06111008302,"Census Tract 83.02, Ventura County, California",79375,6589
1400000US06089010806,"Census Tract 108.06, Shasta County, California",35669,4885
1400000US06073015704,"Census Tract 157.04, San Diego County, California",48456,9107
1400000US06107001200,"Census Tract 12, Tulare County, California",22027,5939
1400000US06037460800,"Census Tract 4608, Los Angeles County, California",208229,28646
1400000US06059042325,"Census Tract 423.25, Orange County, California",114816,7834
1400000US06037535605,"Census Tract 5356.05, Los Angeles County, California",44071,6750
1400000US06037433102,"Census Tract 4331.02, Los Angeles County, California",37250,15199
1400000US06007000901,"Census Tract 9.01, Butte County, California",90156,9982
1400000US06001436602,"Census Tract 4366.02, Alameda County, California",56792,8869
1400000US06029001801,"Census Tract 18.01, Kern County, California",49447,11903
1400000US06019000200,"Census Tract 2, Fresno County, California",25139,5872
1400000US06111003012,"Census Tract 30.12, Ventura County, California",26568,4748
1400000US06055200203,"Census Tract 2002.03, Napa County, California",61778,4235
1400000US06077003209,"Census Tract 32.09, San Joaquin County, California",84521,9140
1400000US06037405500,"Census Tract 4055, Los Angeles County, California",80266,7432
1400000US06111006302,"Census Tract 63.02, Ventura County, California",108295,10453
1400000US06065043262,"Census Tract 432.62, Riverside County, California",105190,15709
1400000US06077003803,"Census Tract 38.03, San Joaquin County, California",45968,8478
1400000US06013382000,"Census Tract 3820, Contra Costa County, California",42477,4254
1400000US06013355306,"Census Tract 3553.06, Contra Costa County, California",126481,12592
1400000US06037262200,"Census Tract 2622, Los Angeles County, California",210417,47753
1400000US06037208904,"Census Tract 2089.04, Los Angeles County, California",26588,6693
1400000US06037123103,"Census Tract 1231.03, Los Angeles County, California",45000,10739
1400000US06067004905,"Census Tract 49.05, Sacramento County, California",44009,13324
1400000US06037402600,"Census Tract 4026, Los Angeles County, California",46750,8314
1400000US06037601801,"Census Tract 6018.01, Los Angeles County, California",36594,4783
1400000US06075061000,"Census Tract 610, San Francisco County, California",93287,15225
1400000US06037186404,"Census Tract 1864.04, Los Angeles County, California",57574,17335
1400000US06059063400,"Census Tract 634, Orange County, California",136397,23624
1400000US06087121403,"Census Tract 1214.03, Santa Cruz County, California",83224,11793
1400000US06037920112,"Census Tract 9201.12, Los Angeles County, California",117656,26513
1400000US06073013311,"Census Tract 133.11, San Diego County, California",106028,17775
1400000US06001442200,"Census Tract 4422, Alameda County, California",179679,23679
1400000US06037123510,"Census Tract 1235.10, Los Angeles County, California",47292,12044
1400000US06037195600,"Census Tract 1956, Los Angeles County, California",70870,10043
1400000US06037106641,"Census Tract 1066.41, Los Angeles County, California",108333,11887
1400000US06065043206,"Census Tract 432.06, Riverside County, California",65983,6204
1400000US06073013102,"Census Tract 131.02, San Diego County, California",54891,6162
1400000US06065043703,"Census Tract 437.03, Riverside County, California",54565,9810
1400000US06073020710,"Census Tract 207.10, San Diego County, California",117647,10748
1400000US06099003001,"Census Tract 30.01, Stanislaus County, California",67225,9994
1400000US06111000701,"Census Tract 7.01, Ventura County, California",51418,14241
1400000US06037208620,"Census Tract 2086.20, Los Angeles County, California",39865,5993
1400000US06037310702,"Census Tract 3107.02, Los Angeles County, California",40871,8556
1400000US06037702600,"Census Tract 7026, Los Angeles County, California",94815,33773
1400000US06001405401,"Census Tract 4054.01, Alameda County, California",51434,4392
1400000US06071004507,"Census Tract 45.07, San Bernardino County, California",41444,9616
1400000US06065044516,"Census Tract 445.16, Riverside County, California",40551,5730
1400000US06089011209,"Census Tract 112.09, Shasta County, California",39490,4266
1400000US06065041409,"Census Tract 414.09, Riverside County, California",113380,17854
1400000US06075012502,"Census Tract 125.02, San Francisco County, California",14976,6205
1400000US06059062628,"Census Tract 626.28, Orange County, California",97321,16642
1400000US06029001802,"Census Tract 18.02, Kern County, California",59508,6501
1400000US06081608600,"Census Tract 6086, San Mateo County, California",110461,29251
1400000US06037602402,"Census Tract 6024.02, Los Angeles County, California",52891,9631
1400000US06053010607,"Census Tract 106.07, Monterey County, California",51192,3019
1400000US06037301501,"Census Tract 3015.01, Los Angeles County, California",97143,37614
1400000US06075013000,"Census Tract 130, San Francisco County, California",161397,7961
1400000US06041126200,"Census Tract 1262, Marin County, California",104327,15725
1400000US06037602002,"Census Tract 6020.02, Los Angeles County, California",41678,2843
1400000US06113010607,"Census Tract 106.07, Yolo County, California",106908,14526
1400000US06065045502,"Census Tract 455.02, Riverside County, California",28750,9241
1400000US06019005701,"Census Tract 57.01, Fresno County, California",43517,11099
1400000US06037572301,"Census Tract 5723.01, Los Angeles County, California",60417,19667
1400000US06071008704,"Census Tract 87.04, San Bernardino County, California",62310,7504
1400000US06037267700,"Census Tract 2677, Los Angeles County, California",87392,11861
1400000US06075017601,"Census Tract 176.01, San Francisco County, California",46563,15885
1400000US06037131400,"Census Tract 1314, Los Angeles County, California",65255,7082
1400000US06065041101,"Census Tract 411.01, Riverside County, California",32530,3859
1400000US06065043403,"Census Tract 434.03, Riverside County, California",29688,4769
1400000US06081610602,"Census Tract 6106.02, San Mateo County, California",123365,42602
1400000US06059099412,"Census Tract 994.12, Orange County, California",86473,9492
1400000US06065046402,"Census Tract 464.02, Riverside County, California",43125,5571
1400000US06077003602,"Census Tract 36.02, San Joaquin County, California",47500,33996
1400000US06019004802,"Census Tract 48.02, Fresno County, California",26864,4386
1400000US06037670001,"Census Tract 6700.01, Los Angeles County, California",69438,14026
1400000US06037480903,"Census Tract 4809.03, Los Angeles County, California",59688,13076
1400000US06073001400,"Census Tract 14, San Diego County, California",80893,15364
1400000US06037430102,"Census Tract 4301.02, Los Angeles County, California",68750,23109
