"","tag","LowBoundBin","Samples","Totals","FractionOfBin","fpc","weight"
"1","Bin A",1,228,1944,0.117283950617284,0.939771437702246,8.52631578947368
"2","Bin B",1045,133,265,0.50188679245283,0.707106781186548,1.99248120300752
"3","Bin C",3383,84,108,0.777777777777778,0.473602222778315,1.28571428571429
"4","Bin D",6458,65,72,0.902777777777778,0.31399291281138,1.10769230769231
